transaction_id,customer_id,date,store_region,item,category,unit_price
T004034,C01530,2026-04-04 13:37:00,East,Milk 1L,Dairy,1.6
T004470,C01204,2025-06-22 12:19:00,East,Energy Drink,Beverages,2.4
T001484,C00082,2025-07-07 13:45:00,North,Milk 1L,Dairy,1.6
T001779,C01199,2025-11-30 14:45:00,North,Cola 2L,Beverages,2.6
T001876,C00733,2026-01-18 20:18:00,North,Whole Wheat Bread,Bakery,2.9
T001915,C00803,2025-08-31 10:52:00,South,Milk 1L,Dairy,1.6
T001433,C01567,2026-03-22 14:59:00,West,Ice Cream,Frozen,4.7
T001707,C00808,2025-09-27 19:58:00,North,Salsa Dip,Snacks,3.8
T000211,C00495,2025-09-01 16:53:00,North,Ice Bag,Party,2.2
T001671,C00644,2025-11-28 11:36:00,South,Ground Beef,Meat,6.9
T000357,C00595,2026-03-25 10:04:00,North,Tomatoes,Produce,2.3
T003838,C00950,2025-09-09 11:05:00,South,Penne,Pasta_Sauce,1.9
T002437,C01349,2026-02-09 12:16:00,West,Laundry Detergent,Household,8.9
T004751,C01662,2025-08-18 15:11:00,West,Sparkling Water,Beverages,1.8
T004689,C01678,2025-07-03 11:08:00,North,Sausages,Meat,4.8
T005198,C01717,2026-05-28 10:33:00,West,Milk 1L,Dairy,1.6
T001644,C01392,2026-04-21 13:17:00,North,Pretzels,Snacks,2.9
T002217,C01720,2026-04-23 09:15:00,West,Milk 1L,Dairy,1.6
T002377,C01104,2026-01-28 14:08:00,East,Sausages,Meat,4.8
T001262,C01622,2026-04-24 17:40:00,South,Sausages,Meat,4.8
T002547,C00995,2025-06-04 18:25:00,South,Cheddar Cheese,Dairy,5.2
T000524,C01356,2025-06-28 13:25:00,North,Frozen Pizza,Frozen,5.9
T003311,C01064,2026-03-13 09:00:00,West,Wine Bottle,Beverages,12.5
T001013,C00409,2026-05-02 15:45:00,East,Cheddar Cheese,Dairy,5.2
T004018,C01003,2025-08-18 14:46:00,South,Guacamole Dip,Snacks,4.2
T000931,C01141,2025-08-11 20:55:00,East,Orange Juice,Breakfast,3.9
T000784,C01614,2025-10-25 15:32:00,North,Milk 1L,Dairy,1.6
T002547,C00995,2025-06-04 18:25:00,South,Laundry Detergent,Household,8.9
T003906,C00281,2026-01-24 12:09:00,East,Ice Cream,Frozen,4.7
T002300,C01780,2025-10-22 15:31:00,North,BBQ Sauce,BBQ,3.9
T002862,C01234,2025-07-20 14:49:00,West,Sausages,Meat,4.8
T004732,C00316,2026-02-15 17:34:00,North,Salsa Dip,Snacks,3.8
T002177,C01470,2025-07-13 10:43:00,North,Honey,Spreads,6.2
T004406,C01601,2026-04-10 17:43:00,North,Oatmeal,Breakfast,3.7
T003829,C00884,2025-12-01 16:06:00,North,Cereal,Breakfast,4.2
T000763,C00947,2025-08-28 18:58:00,South,Laundry Detergent,Household,8.9
T002258,C00803,2025-09-22 12:42:00,North,White Bread,Bakery,2.5
T002057,C00506,2025-12-23 12:29:00,West,Bananas,Produce,1.2
T003310,C01085,2026-04-20 07:22:00,North,Eggs (12ct),Dairy,3.5
T003474,C01531,2025-11-12 18:00:00,West,Beer 6-Pack,Beverages,9.9
T001555,C01759,2025-09-23 19:53:00,West,BBQ Sauce,BBQ,3.9
T001409,C00126,2026-03-19 07:51:00,East,Greek Yogurt,Dairy,3.3
T004884,C00507,2026-04-17 07:58:00,South,Onions,Produce,1.5
T000101,C00016,2025-11-18 13:15:00,North,Apples,Produce,2.1
T003505,C00903,2025-10-28 08:07:00,East,Energy Drink,Beverages,2.4
T001912,C00330,2025-11-03 12:43:00,West,Whole Wheat Bread,Bakery,2.9
T002960,C01506,2026-04-12 19:48:00,West,Eggs (12ct),Dairy,3.5
T001663,C00066,2026-05-26 20:40:00,South,Apples,Produce,2.1
T000158,C00982,2026-05-02 18:18:00,East,Wine Bottle,Beverages,12.5
T000633,C00633,2026-04-01 15:38:00,East,Sparkling Water,Beverages,1.8
T001327,C01244,2025-09-22 20:48:00,East,Paper Towels,Household,5.5
T004051,C01549,2025-07-31 07:32:00,North,Butter,Dairy,4.1
T003050,C00687,2025-10-28 07:33:00,West,Frozen Vegetables,Frozen,3.1
T005136,C01200,2025-11-22 09:48:00,West,Frozen Pizza,Frozen,5.9
T001352,C00425,2025-07-12 07:58:00,North,Salsa Dip,Snacks,3.8
T001555,C01759,2025-09-23 19:53:00,West,Avocado,Produce,2.0
T000737,C00627,2025-09-06 12:02:00,East,Laundry Detergent,Household,8.9
T000348,C01792,2026-01-03 09:27:00,North,White Bread,Bakery,2.5
T000943,C00580,2025-06-05 16:18:00,West,Oatmeal,Breakfast,3.7
T003058,C00029,2025-12-21 17:40:00,West,Beer 6-Pack,Beverages,9.9
T001813,C00555,2026-03-05 16:39:00,North,Charcoal Bag,BBQ,8.2
T001557,C00912,2026-05-19 12:34:00,North,Bacon,Meat,5.4
T001386,C00439,2025-12-29 08:23:00,West,Peanut Butter,Spreads,4.5
T000929,C01030,2025-12-10 17:30:00,West,Tomato Pasta Sauce,Pasta_Sauce,3.1
T004884,C00507,2026-04-17 07:58:00,South,Trash Bags,Household,6.1
T004682,C01135,2026-03-28 08:35:00,East,Ground Beef,Meat,6.9
T000192,C01594,2025-08-21 17:44:00,North,Sugar,Breakfast,2.2
T003766,C00038,2025-10-24 13:57:00,North,Whole Wheat Bread,Bakery,2.9
T001624,C00188,2025-06-12 17:20:00,West,Ground Beef,Meat,6.9
T002475,C01394,2025-11-27 17:20:00,North,Tortilla Chips,Snacks,3.3
T004478,C01428,2025-08-13 08:27:00,East,Garlic Bread,Pasta_Sauce,3.0
T003251,C01663,2026-03-30 17:16:00,North,Tortilla Chips,Snacks,3.3
T001938,C01622,2026-04-12 15:43:00,North,Energy Drink,Beverages,2.4
T002266,C00722,2026-05-16 09:49:00,North,Eggs (12ct),Dairy,3.5
T000737,C00627,2025-09-06 12:02:00,East,Baby Wipes,Baby,4.6
T000386,C01509,2025-10-02 16:04:00,East,Frozen Pizza,Frozen,5.9
T000573,C01215,2026-02-26 08:09:00,West,Ice Cream,Frozen,4.7
T003898,C00724,2025-08-20 17:15:00,East,Frozen Fries,Frozen,3.4
T003012,C01441,2025-12-07 18:43:00,East,Oatmeal,Breakfast,3.7
T003291,C00455,2025-06-24 20:05:00,North,Laundry Detergent,Household,8.9
T000292,C00333,2026-04-20 14:37:00,East,Pretzels,Snacks,2.9
T000188,C01108,2026-05-26 10:05:00,South,Tortilla Chips,Snacks,3.3
T002892,C01659,2025-11-17 07:41:00,South,Salsa Dip,Snacks,3.8
T000935,C01429,2026-03-29 16:11:00,East,Orange Juice,Breakfast,3.9
T000420,C01110,2025-07-28 13:39:00,East,Tortilla Chips,Snacks,3.3
T001331,C01172,2025-12-08 14:41:00,East,Sparkling Water,Beverages,1.8
T000378,C00972,2025-07-07 18:39:00,North,Coffee,Breakfast,8.5
T002226,C01233,2025-11-03 12:19:00,East,Frozen Vegetables,Frozen,3.1
T001252,C00489,2026-01-05 11:49:00,West,Trash Bags,Household,6.1
T000693,C00185,2025-11-29 11:19:00,West,Coffee,Breakfast,8.5
T004150,C00222,2026-05-06 19:50:00,East,Balloons Pack,Party,3.5
T003265,C00048,2026-05-14 15:45:00,South,Frozen Vegetables,Frozen,3.1
T002709,C01396,2025-06-25 18:47:00,West,Onions,Produce,1.5
T000725,C01520,2025-06-28 09:53:00,South,Frozen Fries,Frozen,3.4
T003248,C00030,2026-04-28 12:55:00,South,Laundry Detergent,Household,8.9
T003315,C00949,2025-12-07 12:44:00,East,Ground Beef,Meat,6.9
T001522,C01762,2025-10-29 19:39:00,West,Cola 2L,Beverages,2.6
T003968,C01410,2025-09-12 08:24:00,West,Laundry Detergent,Household,8.9
T000630,C01714,2026-03-01 09:29:00,East,Paper Towels,Household,5.5
T000244,C00466,2025-07-14 12:56:00,West,Coffee,Breakfast,8.5
T000554,C01419,2026-01-16 11:38:00,East,Bananas,Produce,1.2
T001480,C01745,2026-03-27 13:20:00,East,Nutella,Spreads,5.9
T003433,C00123,2025-07-27 14:18:00,East,Apples,Produce,2.1
T005076,C01239,2025-07-21 20:40:00,North,Frozen Fries,Frozen,3.4
T000288,C01686,2026-04-29 13:05:00,South,Apples,Produce,2.1
T004479,C01699,2026-05-13 16:27:00,East,Greek Yogurt,Dairy,3.3
T002810,C00582,2026-05-01 09:49:00,West,Cheddar Cheese,Dairy,5.2
T000486,C01694,2026-02-26 10:09:00,North,Butter,Dairy,4.1
T002646,C01684,2026-04-04 12:49:00,North,Laundry Detergent,Household,8.9
T002455,C00307,2026-04-01 19:14:00,North,Coffee,Breakfast,8.5
T004625,C01216,2025-09-17 08:22:00,West,Bagels,Bakery,3.2
T001217,C01197,2026-04-18 08:43:00,West,Trash Bags,Household,6.1
T000913,C01263,2026-04-22 07:09:00,North,Baby Food Jars,Baby,2.1
T000988,C01650,2026-05-02 18:33:00,South,Potato Chips,Snacks,3.1
T002533,C00586,2026-03-19 08:46:00,North,Frozen Fries,Frozen,3.4
T001558,C00221,2026-03-31 19:38:00,North,Potato Chips,Snacks,3.1
T000620,C01434,2025-08-01 12:07:00,West,Penne,Pasta_Sauce,1.9
T003019,C00444,2025-08-05 13:54:00,North,Sausages,Meat,4.8
T003415,C00355,2025-09-04 16:40:00,North,Chicken Breast,Meat,7.5
T000989,C00254,2025-10-09 11:35:00,East,Sparkling Water,Beverages,1.8
T001209,C00995,2025-11-10 15:40:00,North,Wine Bottle,Beverages,12.5
T002523,C00867,2025-10-13 15:41:00,East,Sparkling Water,Beverages,1.8
T004075,C00489,2025-11-14 14:37:00,West,Bagels,Bakery,3.2
T000681,C00369,2025-08-03 18:11:00,South,Laundry Detergent,Household,8.9
T003763,C01306,2025-09-16 08:48:00,West,   ,Dairy,4.1
T002924,C01065,2025-06-22 12:42:00,East,Laundry Detergent,Household,8.9
T000551,C00303,2025-09-24 10:55:00,South,Potato Chips,Snacks,3.1
T000928,C00724,2026-03-11 18:09:00,East,Tomato Pasta Sauce,Pasta_Sauce,3.1
T000801,C01726,2025-12-17 16:08:00,North,Coffee,Breakfast,8.5
T004849,C00490,2026-02-19 08:29:00,East,Apples,Produce,2.1
T001119,C00244,2025-12-17 11:52:00,East,Honey,Spreads,6.2
T002755,C00992,2025-08-14 08:20:00,East,Cola 2L,Beverages,2.6
T001884,C01061,2025-11-06 09:25:00,South,Wine Bottle,Beverages,12.5
T002519,C00107,2025-11-14 14:31:00,North,Onions,Produce,1.5
T003909,C00560,2026-01-14 18:35:00,South,Butter,Dairy,4.1
T003990,C00147,2025-06-30 19:08:00,South,Tomato Pasta Sauce,Pasta_Sauce,3.1
T002304,C00813,2025-10-23 20:01:00,South,Cereal,Breakfast,4.2
T002758,C01497,2026-04-05 19:30:00,East,Butter,Dairy,4.1
T004283,C01139,2025-08-29 18:39:00,West,Milk 1L,Dairy,1.6
T000657,C00914,2026-03-24 07:51:00,West,Energy Drink,Beverages,2.4
T000663,C01663,2026-01-18 19:24:00,North,Trash Bags,Household,6.1
T000816,C01119,2026-04-13 13:40:00,South,Bagels,Bakery,3.2
T002556,C00560,2025-11-27 14:18:00,South,Ice Cream,Frozen,4.7
T000683,C01474,2025-11-15 07:13:00,East,Whole Wheat Bread,Bakery,2.9
T000107,C00782,2025-10-22 14:49:00,North,Milk 1L,Dairy,1.6
T002033,C01793,2025-07-22 10:32:00,South,Milk 1L,Dairy,1.6
T001306,C01427,2025-09-09 11:26:00,South,Frozen Pizza,Frozen,5.9
T001202,C01289,2025-12-19 10:39:00,North,Bacon,Meat,5.4
T004642,C01392,2025-12-23 10:54:00,West,Potato Chips,Snacks,3.1
T003942,C01643,2025-07-03 16:15:00,East,Cereal,Breakfast,4.2
T002386,C01238,2026-02-02 15:19:00,East,Potato Chips,Snacks,3.1
T003724,C00041,2026-01-08 10:13:00,East,Ketchup,BBQ,2.6
T001521,C00561,2025-11-17 10:34:00,East,Sausages,Meat,4.8
T004046,C00146,2025-06-06 13:39:00,South,Croissants,Bakery,3.8
T004268,C00820,2026-05-25 11:08:00,North,Pretzels,Snacks,2.9
T004176,C00892,2026-03-20 08:24:00,South,Paper Towels,Household,5.5
T002947,C01425,2025-08-28 13:49:00,North,Bagels,Bakery,3.2
T001383,C00725,2026-01-28 13:13:00,East,Tomatoes,Produce,2.3
T002130,C01500,2026-05-14 16:25:00,East,Energy Drink,Beverages,2.4
T002870,C01186,2026-05-22 10:20:00,South,Burger Buns,BBQ,2.8
T002756,C01143,2026-03-11 12:00:00,North,Onions,Produce,1.5
T002937,C00068,2026-02-23 11:07:00,South,Energy Drink,Beverages,2.4
T003406,C01055,2026-01-09 17:40:00,East,Ice Cream,Frozen,4.7
T002056,C00262,2025-07-01 16:55:00,East,Cola 2L,Beverages,2.6
T003421,C01225,2025-12-02 10:28:00,West,Ground Beef,Meat,6.9
T004664,C01138,2025-12-20 17:44:00,East,Beer 6-Pack,Beverages,9.9
T003617,C01089,2026-03-31 20:30:00,North,Laundry Detergent,Household,8.9
T003298,C00439,2025-10-29 17:21:00,South,Frozen Fries,Frozen,3.4
T002531,C01698,2025-10-30 09:17:00,East,BBQ Sauce,BBQ,3.9
T001033,C00454,2026-01-06 17:58:00,East,Ice Cream,Frozen,4.7
T003061,C00036,2026-04-27 18:58:00,North,Dish Soap,Household,3.2
T001121,C00698,2025-08-08 19:45:00,West,Pretzels,Snacks,2.9
T002118,C01540,2026-01-15 09:00:00,North,Croissants,Bakery,3.8
T004438,C00617,2025-11-14 13:28:00,South,Ice Cream,Frozen,4.7
T003122,C00686,2025-09-09 11:35:00,North,Paper Towels,Household,5.5
T000782,C00642,2025-10-19 16:22:00,North,Whole Wheat Bread,Bakery,2.9
T000516,C01368,2026-05-08 07:20:00,East,Onions,Produce,1.5
T001612,C00207,2025-06-04 11:45:00,North,Tortilla Chips,Snacks,3.3
T001682,C01205,2025-12-09 17:21:00,North,Dish Soap,Household,3.2
T001185,C00436,2026-03-18 13:30:00,South,Diapers Pack,Baby,14.9
T002098,C00533,2026-01-06 10:29:00,East,Oatmeal,Breakfast,3.7
T003652,C00572,2025-08-15 18:40:00,East,Ground Beef,Meat,6.9
T000124,C00901,2025-12-02 14:14:00,East,Ice Bag,Party,2.2
T004969,C00674,2025-12-06 12:24:00,North,Bagels,Bakery,3.2
T001841,C01272,2026-03-29 12:55:00,South,Whole Wheat Bread,Bakery,2.9
T003581,C00874,2026-03-25 10:11:00,East,Onions,Produce,1.5
T004616,C00245,2026-02-24 17:58:00,West,Potato Chips,Snacks,3.1
T005104,C01443,2025-07-16 12:01:00,West,Coffee,Breakfast,8.5
T001986,C01452,2025-09-28 17:04:00,South,Ketchup,BBQ,2.6
T001783,C00195,2026-03-06 12:20:00,West,Tortilla Chips,Snacks,3.3
T000852,C00600,2026-02-05 12:05:00,East,Guacamole Dip,Snacks,4.2
T001598,C01334,2026-05-13 08:46:00,East,Sparkling Water,Beverages,1.8
T002661,C00478,2026-05-26 17:53:00,North,Beer 6-Pack,Beverages,9.9
T003755,C01613,2026-05-29 09:04:00,North,Sugar,Breakfast,2.2
T000039,C00881,2025-09-28 13:32:00,West,Ground Beef,Meat,6.9
T000765,C00412,2026-03-23 07:36:00,North,Cereal,Breakfast,4.2
T002170,C00625,2026-05-04 12:59:00,North,Paper Plates,Party,2.9
T004307,C00870,2025-10-20 16:26:00,North,Guacamole Dip,Snacks,4.2
T001845,C01742,2025-12-02 19:35:00,South,Paper Plates,Party,2.9
T002822,C01374,2025-11-27 14:14:00,South,Frozen Vegetables,Frozen,3.1
T002192,C00271,2026-03-10 14:44:00,North,Sparkling Water,Beverages,1.8
T002609,C00636,2026-05-15 12:38:00,North,Tomato Pasta Sauce,Pasta_Sauce,3.1
T003907,C01795,2025-07-01 17:39:00,East,Laundry Detergent,Household,8.9
T003894,C01329,2025-12-30 07:58:00,North,Greek Yogurt,Dairy,3.3
T001698,C01104,2025-07-07 08:49:00,South,Burger Buns,BBQ,2.8
T001712,C01748,2025-07-15 12:52:00,East,Chicken Breast,Meat,7.5
T004813,C01204,2025-09-14 18:50:00,East,Beer 6-Pack,Beverages,9.9
T004207,C00253,2025-12-11 19:59:00,East,Dish Soap,Household,3.2
T003950,C01747,2026-04-21 08:25:00,South,Baby Food Jars,Baby,2.1
T004681,C01167,2025-11-05 16:11:00,North,Beer 6-Pack,Beverages,9.9
T002914,C00132,2025-09-17 12:33:00,East,Baby Food Jars,Baby,2.1
T003041,C01716,2025-07-23 16:19:00,South,Ground Beef,Meat,6.9
T003119,C00794,2026-02-26 16:02:00,East,BBQ Sauce,BBQ,3.9
T004004,C01367,2025-11-09 20:30:00,North,Salsa Dip,Snacks,3.8
T004125,C01778,2026-02-18 10:09:00,North,Bacon,Meat,5.4
T003803,C01694,2026-03-05 10:16:00,North,Ground Beef,Meat,6.9
T001058,C00156,2025-08-27 10:38:00,West,Frozen Pizza,Frozen,5.9
T002940,C00679,2026-01-11 10:27:00,North,Pretzels,Snacks,2.9
T002042,C01501,2026-01-03 14:30:00,South,White Bread,Bakery,2.5
T003065,C00687,2025-08-11 07:45:00,South,Bananas,Produce,1.2
T000287,C00157,2025-09-30 09:09:00,South,Bacon,Meat,5.4
T001578,C01643,2025-08-12 10:55:00,East,Ice Cream,Frozen,4.7
T000615,C00325,2026-01-17 16:54:00,South,Salsa Dip,Snacks,3.8
T003857,C01779,2026-01-15 20:02:00,South,Ice Cream,Frozen,4.7
T000936,C01143,2026-05-13 09:31:00,North,Tomatoes,Produce,2.3
T003964,C00038,2026-03-26 18:06:00,East,Salsa Dip,Snacks,3.8
T003902,C01741,2025-08-25 08:39:00,East,Lettuce,Produce,1.8
T001553,C00954,2026-05-28 15:37:00,East,Sparkling Water,Beverages,1.8
T002675,C01751,2025-09-08 07:42:00,East,Frozen Pizza,Frozen,5.9
T001915,C00803,2025-08-31 10:52:00,South,Cheddar Cheese,Dairy,5.2
T001345,C00377,2026-04-23 11:55:00,North,Cola 2L,Beverages,2.6
T005152,C01077,2026-05-25 12:35:00,West,Oatmeal,Breakfast,3.7
T001504,C01741,2026-01-26 12:24:00,North,Penne,Pasta_Sauce,1.9
T000678,C01634,2025-11-18 13:27:00,South,Salsa Dip,Snacks,3.8
T002852,C00813,2025-10-04 11:18:00,West,Frozen Fries,Frozen,3.4
T001146,C01057,2026-03-25 18:17:00,South,Frozen Pizza,Frozen,5.9
T003808,C00725,2026-05-13 17:42:00,West,Tomato Pasta Sauce,Pasta_Sauce,3.1
T000993,C01522,2025-06-24 13:24:00,North,Croissants,Bakery,3.8
T001281,C00867,2025-11-26 08:20:00,North,Wine Bottle,Beverages,12.5
T003986,C00180,2026-03-22 15:50:00,East,Ice Cream,Frozen,4.7
T001220,C00440,2026-01-09 10:10:00,North,Cheddar Cheese,Dairy,5.2
T000817,C00389,2025-08-02 16:06:00,North,Frozen Vegetables,Frozen,3.1
T002493,C00222,2025-10-12 12:48:00,East,Dish Soap,Household,3.2
T005180,C01203,2025-08-21 09:31:00,North,Strawberry Jam,Spreads,3.6
T002269,C00522,2025-12-02 14:50:00,South,Guacamole Dip,Snacks,4.2
T000763,C00947,2025-08-28 18:58:00,South,Energy Drink,Beverages,2.4
T002711,C01428,2025-09-24 11:10:00,North,Ground Beef,Meat,6.9
T000278,C01475,2026-01-20 09:44:00,South,Bacon,Meat,5.4
T002251,C01287,2026-04-16 09:51:00,North,Laundry Detergent,Household,8.9
T002350,C00286,2025-10-19 08:15:00,North,Lettuce,Produce,1.8
T001971,C00134,2025-09-20 14:48:00,West,Dish Soap,Household,3.2
T004792,C01787,2025-08-18 11:21:00,North,Beer 6-Pack,Beverages,9.9
T003943,C00485,2026-05-21 09:03:00,North,Potato Chips,Snacks,3.1
T004781,C00879,2025-09-07 09:32:00,West,Bananas,Produce,1.2
T001890,C00953,2026-03-05 15:01:00,West,Tomato Pasta Sauce,Pasta_Sauce,3.1
T002589,C01566,2026-05-25 18:34:00,South,Whole Wheat Bread,Bakery,2.9
T001797,C00738,2026-01-23 15:00:00,West,Bacon,Meat,5.4
T003138,C00307,2025-11-07 15:15:00,East,White Bread,Bakery,2.5
T001664,C01537,2025-09-05 10:02:00,East,Ice Cream,Frozen,4.7
T004620,C00284,2026-02-11 08:30:00,South,Bagels,Bakery,3.2
T003405,C00021,2025-09-26 10:49:00,North,Cola 2L,Beverages,2.6
